iter	Logloss
0	0.6913531621
1	0.6893674533
2	0.6879591942
3	0.6862630049
4	0.6850688457
5	0.6833032767
6	0.6820130348
7	0.6811393102
8	0.6796422799
9	0.677946647
10	0.6771399975
11	0.675403595
12	0.6743833224
13	0.6730772654
14	0.6711173058
15	0.6698257128
16	0.6685973803
17	0.6676011086
18	0.6664245923
19	0.6652775208
20	0.6645069122
21	0.6635088126
22	0.6624958515
23	0.6611244281
24	0.660208861
25	0.6588654518
26	0.6572984854
27	0.6563052734
28	0.6554571788
29	0.6537715594
30	0.6527106365
31	0.6511779626
32	0.6500777404
33	0.6488382816
34	0.6479169528
35	0.6472355127
36	0.6456431945
37	0.6441245079
38	0.6433448792
39	0.6425251563
40	0.640796423
41	0.6398510138
42	0.6387958527
43	0.6374105215
44	0.636256814
45	0.634827733
46	0.6336473624
47	0.6326948404
48	0.6314596335
49	0.6302511692
50	0.6288406452
51	0.6272209485
52	0.6262814204
53	0.6247586409
54	0.6237825553
55	0.6220309734
56	0.6208643119
57	0.6193675598
58	0.618528684
59	0.6174246073
60	0.6161315838
61	0.6152798335
62	0.6142523289
63	0.6135166486
64	0.6120821635
65	0.6108974616
66	0.6096930901
67	0.608657678
68	0.60769852
69	0.6067768733
70	0.6055165132
71	0.6045709451
72	0.6033082803
73	0.6023612817
74	0.6010015011
75	0.5996553103
76	0.5981673002
77	0.597271045
78	0.5961118539
79	0.5947414637
80	0.5936650435
81	0.5929464897
82	0.5916423003
83	0.5910373926
84	0.5903439124
85	0.5893437862
86	0.5881577333
87	0.5873933236
88	0.586245656
89	0.5854502916
90	0.5848999023
91	0.5834869544
92	0.5827881893
93	0.5816933314
94	0.5807648102
95	0.5791152318
96	0.5774693886
97	0.5767422517
98	0.5759729942
99	0.5747838418
100	0.5735426346
101	0.5721577406
102	0.5712049405
103	0.5702057679
104	0.5689268112
105	0.56793046
106	0.5669571559
107	0.5662924449
108	0.5658117135
109	0.5649145047
110	0.5642127991
111	0.5635186036
112	0.562652866
113	0.5619515578
114	0.56113259
115	0.5602320035
116	0.5588182608
117	0.5579640071
118	0.5570397377
119	0.5558462938
120	0.5549130042
121	0.5539521376
122	0.5531198978
123	0.5522407691
124	0.5514300664
125	0.5504918098
126	0.5495429436
127	0.5487608115
128	0.5477705002
129	0.5467092196
130	0.5459963481
131	0.5452187061
132	0.5445552667
133	0.5435503324
134	0.5428832372
135	0.5414208174
136	0.5405792395
137	0.5397621791
138	0.5388297637
139	0.5381250381
140	0.5375296672
141	0.5365730921
142	0.5355710983
143	0.5344746113
144	0.5333576997
145	0.5320851008
146	0.5313040018
147	0.529970328
148	0.5292973916
149	0.5286460718
150	0.5274500449
151	0.5269649824
152	0.526400725
153	0.5251948039
154	0.524216493
155	0.5232798258
156	0.5226965348
157	0.521976908
158	0.5214296579
159	0.5204279423
160	0.5198229949
161	0.5189100504
162	0.5179506143
163	0.5171889861
164	0.5161678394
165	0.5153663158
166	0.5144698222
167	0.5137015184
168	0.5125098228
169	0.5113799572
170	0.5108586152
171	0.5095417897
172	0.508701245
173	0.5079199473
174	0.5069851875
175	0.5061816772
176	0.5053318342
177	0.5046761036
178	0.5040926139
179	0.5032986005
180	0.502286911
181	0.5012117227
182	0.5004755259
183	0.4996434848
184	0.4983342489
185	0.4975931247
186	0.4963781039
187	0.4958181381
188	0.4948558013
189	0.4944136937
190	0.4937148889
191	0.4931760629
192	0.4928059578
193	0.4918832382
194	0.4907141527
195	0.4898747603
196	0.4887619019
197	0.4877253771
198	0.4872726599
199	0.48629872
200	0.4852418105
201	0.4844461282
202	0.4834067027
203	0.4825729926
204	0.481595993
205	0.4806911548
206	0.4800334771
207	0.4795828263
208	0.4787898064
209	0.4774970214
210	0.4766173363
211	0.4762415091
212	0.4753568172
213	0.4744681517
214	0.4732680321
215	0.4720296462
216	0.4715596835
217	0.4706398646
218	0.4697821538
219	0.4690603813
220	0.4683725834
221	0.4676311811
222	0.4671549797
223	0.4664656719
224	0.4657182693
225	0.4648762941
226	0.4639656941
227	0.4628874858
228	0.4621691704
229	0.4612773259
230	0.4605156581
231	0.4600559076
232	0.4593452613
233	0.4588960409
234	0.4583810965
235	0.45766747
236	0.456786871
237	0.4560713768
238	0.4549088875
239	0.4537433783
240	0.4533622662
241	0.4524648587
242	0.4516225656
243	0.4508589109
244	0.4499284426
245	0.4494796197
246	0.4484542211
247	0.4479560852
248	0.4471918344
249	0.4462358952
250	0.4456681013
251	0.4449445407
252	0.4441194137
253	0.4435681899
254	0.4431911707
255	0.4425235589
256	0.4419396718
257	0.4412384033
258	0.4407475392
259	0.4398487409
260	0.4390390714
261	0.4381518364
262	0.4373012384
263	0.4364167452
264	0.4360089302
265	0.4353955189
266	0.4346400102
267	0.4339441061
268	0.4333155155
269	0.4326547782
270	0.4322561423
271	0.4313730796
272	0.4307988087
273	0.4301186403
274	0.4295071363
275	0.428968509
276	0.4279862245
277	0.4274982214
278	0.4268180927
279	0.426041166
280	0.4253993432
281	0.4245795409
282	0.4240150452
283	0.4235209624
284	0.4228411913
285	0.4222367605
286	0.4213606119
287	0.4206212362
288	0.4199861685
289	0.4193540812
290	0.4189840953
291	0.418088754
292	0.4175849358
293	0.4167816639
294	0.415929238
295	0.4155277411
296	0.4148655732
297	0.4144273599
298	0.4136146704
299	0.4130076965
300	0.4124811888
301	0.4115921259
302	0.4106506507
303	0.4100825787
304	0.4098074436
305	0.4090415239
306	0.408186396
307	0.4076742331
308	0.407270352
309	0.4068161249
310	0.4060420593
311	0.4054792325
312	0.4047617912
313	0.4039642413
314	0.4035437107
315	0.4029906591
316	0.4022824764
317	0.4016039371
318	0.4011045297
319	0.4005047083
320	0.3997219006
321	0.3991142114
322	0.3984615008
323	0.3976623615
324	0.3969988028
325	0.3965175947
326	0.396192352
327	0.3955685298
328	0.3951150576
329	0.3945875963
330	0.3942484061
331	0.3936136166
332	0.3928553661
333	0.3919632435
334	0.391292731
335	0.3908878962
336	0.3899985552
337	0.3895271619
338	0.3890039921
339	0.3882228533
340	0.3877583345
341	0.3871246179
342	0.3863672415
343	0.3858714898
344	0.3851750692
345	0.3841828108
346	0.3839768569
347	0.3834508657
348	0.3827277025
349	0.3822848797
350	0.3816390832
351	0.3811933994
352	0.3809017738
353	0.3803494771
354	0.3796439171
355	0.3789310455
356	0.3782933553
357	0.3775619666
358	0.3768231074
359	0.3760517438
360	0.3755549192
361	0.3749835491
362	0.3744161129
363	0.3738977114
364	0.3732935588
365	0.3729149501
366	0.3723983367
367	0.371939977
368	0.371178627
369	0.3708363771
370	0.3703672489
371	0.3699141343
372	0.369311889
373	0.3687713544
374	0.3682237864
375	0.3674503962
376	0.3667433262
377	0.3663450877
378	0.3657872279
379	0.3651976983
380	0.364708662
381	0.364171346
382	0.3638081551
383	0.3634769122
384	0.3630617062
385	0.3626723289
386	0.3623179595
387	0.3620564938
388	0.3615132968
389	0.3612237771
390	0.3608214855
391	0.3603556951
392	0.3596859773
393	0.359096686
394	0.3586723804
395	0.3582684199
396	0.3573910395
397	0.3569042683
398	0.3563020627
399	0.3558621407
400	0.3553019365
401	0.3549256325
402	0.3543346723
403	0.353959322
404	0.3532438676
405	0.3522296747
406	0.3517297506
407	0.3514946302
408	0.3508579731
409	0.3502742449
410	0.3497865597
411	0.3493930499
412	0.3487037818
413	0.3486425877
414	0.3484407266
415	0.3481802543
416	0.3474894762
417	0.347009023
418	0.346517086
419	0.3460332553
420	0.3456561565
421	0.3453535239
422	0.3449787299
423	0.3444995085
424	0.3440246185
425	0.3436255455
426	0.3429890871
427	0.3426243464
428	0.3421115875
429	0.3416450818
430	0.3410672744
431	0.3405311902
432	0.3400258223
433	0.3398458958
434	0.3392602205
435	0.3388906717
436	0.3385081291
437	0.337780714
438	0.3371369044
439	0.3364888827
440	0.335901618
441	0.3351758321
442	0.3346802791
443	0.3343631824
444	0.3338189522
445	0.3334844907
446	0.3327870369
447	0.3324524562
448	0.3319482803
449	0.3313016494
450	0.3310859203
451	0.3304855426
452	0.3298387527
453	0.3292845885
454	0.3289399147
455	0.32842652
456	0.3279786309
457	0.3275321921
458	0.3268631299
459	0.3264151017
460	0.3260002136
461	0.3257343173
462	0.3252352873
463	0.3249439796
464	0.3244890372
465	0.323941946
466	0.3234844009
467	0.3232162396
468	0.3229389985
469	0.3226509492
470	0.3222157756
471	0.3217906952
472	0.3215426405
473	0.3207640648
474	0.3203470906
475	0.3198266824
476	0.3196017345
477	0.3192079067
478	0.3188221852
479	0.3184172312
480	0.3180172443
481	0.3176830014
482	0.317341884
483	0.3169369896
484	0.3165430427
485	0.3162573775
486	0.315858225
487	0.3154173295
488	0.3152127862
489	0.3148607413
490	0.3146972656
491	0.3140138785
492	0.3135244052
493	0.3131583333
494	0.3127064705
495	0.312355419
496	0.3117578427
497	0.3113727768
498	0.3109155099
499	0.3103807767
500	0.3099971612
501	0.3095004161
502	0.3090777397
503	0.3087877035
504	0.3083532254
505	0.3080306053
506	0.3078229825
507	0.3072395722
508	0.3069555163
509	0.3064741294
510	0.306048274
511	0.3055633704
512	0.3053797086
513	0.3049778541
514	0.3045370181
515	0.3043346405
516	0.3036604921
517	0.3032033841
518	0.3027891715
519	0.3022955259
520	0.3019822439
521	0.3013938665
522	0.3008649151
523	0.3005655607
524	0.3001195192
525	0.2995965083
526	0.2991389434
527	0.298809727
528	0.2984524369
529	0.2980580529
530	0.2978817225
531	0.2976003885
532	0.297416389
533	0.297043999
534	0.296503067
535	0.2961363792
536	0.2958284219
537	0.2954103351
538	0.2949576974
539	0.2949324052
540	0.2945255836
541	0.2941368222
542	0.2934447924
543	0.2930441101
